iter	Passed	Remaining
0	138	13736
1	142	6970
2	145	4712
3	149	3581
4	153	2910
5	156	2452
6	159	2125
7	163	1882
8	167	1691
9	170	1536
10	174	1410
11	177	1304
12	181	1215
13	185	1138
14	188	1070
15	192	1011
16	196	960
17	200	912
18	203	869
19	207	830
20	211	794
21	214	761
22	218	731
23	222	704
24	226	678
25	229	653
26	233	631
27	237	610
28	241	591
29	245	573
30	249	556
31	253	539
32	257	523
33	261	507
34	265	493
35	269	479
36	273	465
37	277	452
38	281	439
39	285	428
40	289	416
41	293	404
42	296	393
43	300	382
44	304	372
45	308	362
46	312	352
47	316	342
48	320	333
49	323	323
50	327	314
51	331	306
52	336	298
53	340	290
54	346	283
55	351	276
56	355	268
57	360	260
58	364	253
59	369	246
60	373	239
61	379	232
62	384	225
63	389	218
64	393	212
65	398	205
66	403	198
67	407	191
68	412	185
69	416	178
70	421	172
71	425	165
72	430	159
73	435	152
74	439	146
75	444	140
76	449	134
77	453	127
78	458	121
79	462	115
80	466	109
81	470	103
82	473	97
83	477	90
84	482	85
85	487	79
86	490	73
87	495	67
88	499	61
89	503	55
90	507	50
91	511	44
92	516	38
93	520	33
94	525	27
95	530	22
96	543	16
97	558	11
98	570	5
99	575	0
